dateTime,participantID,trialNb,condition,hintID,hintDelay,stimuli,correctness,reactionTime,answer
20220602_205111,0,1,1,2_U,1000,2_U_squareR_2_UR_triangleR_3_DR_triangleG_3_D_diamondR_2_DL_diamondG_2_UL_squareG,correct,00:620,True
20220602_205111,0,2,1,2_DL,1300,3_U_diamondR_1_UR_squareG_2_DR_triangleR_3_D_diamondG_2_DL_squareR_1_UL_triangleG,incorrect,00:548,False
20220602_205111,0,3,1,1_UL,1200,2_U_triangleG_3_UR_diamondG_2_DR_squareG_3_D_triangleR_1_DL_diamondR_1_UL_squareR,incorrect,00:636,False
20220602_205111,0,4,1,2_DR,800,3_U_triangleR_2_UR_triangleG_2_DR_squareR_1_D_diamondG_1_DL_squareG_3_UL_diamondR,correct,00:560,True
20220602_205111,0,5,1,2_D,1000,3_U_triangleG_2_UR_triangleR_1_DR_diamondR_3_DL_squareG_2_D_squareR_1_UL_diamondG,incorrect,01:016,False
20220602_205111,0,6,1,1_DR,1000,1_U_diamondG_2_UR_diamondR_1_DR_squareR_2_D_triangleG_2_DL_triangleR_3_UL_squareG,incorrect,00:736,False
20220602_205111,0,7,1,2_UL,1200,1_U_triangleR_2_UL_squareR_3_UR_triangleG_3_DR_diamondG_2_D_diamondR_1_DL_squareG,correct,00:592,True
20220602_205111,0,8,1,3_UR,900,2_U_triangleR_3_UR_squareR_1_DR_diamondR_3_D_squareG_2_DL_diamondG_2_UL_triangleG,incorrect,00:600,False
20220602_205111,0,9,1,2_D,1100,3_U_diamondR_1_UR_triangleG_2_DR_triangleR_2_D_squareR_1_UL_diamondG_3_DL_squareG,correct,00:568,True
20220602_205111,0,10,2,1_UR,1000,1_U_triangleG_2_UR_squareR_2_DR_diamondR_1_D_triangleG_3_DL_squareG_3_UL_diamondG,incorrect,00:584,False
20220602_205111,0,11,2,3_U,1000,2_U_squareR_2_UR_triangleR_3_DR_triangleG_3_D_diamondR_2_DL_diamondG_2_UL_squareG,correct,00:576,True
20220602_205111,0,12,2,1_DL,1300,3_U_diamondR_1_UR_squareG_2_DR_triangleR_3_D_diamondG_2_DL_squareR_1_UL_triangleG,incorrect,00:544,False
20220602_205111,0,13,2,3_UL,1200,2_U_triangleG_3_UR_diamondG_2_DR_squareG_3_D_triangleR_1_DL_diamondR_1_UL_squareR,correct,00:600,True
20220602_205111,0,14,2,3_DR,800,3_U_triangleR_2_UR_triangleG_2_DR_squareR_1_D_diamondG_1_DL_squareG_3_UL_diamondR,correct,00:900,True
20220602_205111,0,15,2,1_D,1000,3_U_triangleG_2_UR_triangleR_1_DR_diamondR_3_DL_squareG_2_D_squareR_1_UL_diamondG,incorrect,00:540,False
20220602_205111,0,16,2,3_DR,1000,1_U_diamondG_2_UR_diamondR_1_DR_squareR_2_D_triangleG_2_DL_triangleR_3_UL_squareG,correct,00:876,True
20220602_205111,0,17,2,1_UL,1200,1_U_triangleR_2_UL_squareR_3_UR_triangleG_3_DR_diamondG_2_D_diamondR_1_DL_squareG,incorrect,00:608,False
20220602_205111,0,18,2,1_UR,900,2_U_triangleR_3_UR_squareR_1_DR_diamondR_3_D_squareG_2_DL_diamondG_2_UL_triangleG,correct,00:632,True
20220602_205111,0,19,3,3_D,1100,3_U_diamondR_1_UR_triangleG_2_DR_triangleR_2_D_triangleR_1_UL_diamondG_3_DL_squareG,incorrect,00:820,False
20220602_205111,0,20,3,2_UR,1000,1_U_triangleG_2_UR_diamondR_2_DR_diamondR_1_D_triangleG_3_DL_squareG_3_UL_diamondG,correct,00:600,False
20220602_205111,0,21,3,2_U,1000,2_U_squareG_2_UR_triangleR_3_DR_triangleG_3_D_diamondR_2_DL_diamondG_2_UL_squareG,correct,00:560,False
20220602_205111,0,22,3,2_DL,1300,3_U_diamondR_1_UR_squareG_2_DR_triangleR_3_D_diamondG_2_DL_triangleR_1_UL_triangleG,correct
